623.484	1142.1504	1525.2768
524.088	1203.5952	1138.536
54.216	1709.6112	571.0752
153.612	1762.02	531.3168
39.7584	1686.1176	1850.5728
847.5768	1443.9528	1062.6336
1198.1736	135.54	1375.2792
1012.032	1514.4336	1454.796
590.9544	359.6328	1610.2152
746.3736	820.4688	945.1656
1181.9088	1171.0656	974.0808
37.9512	670.4712	46.9872
1989.7272	368.6688	2076.4728
1659.0096	1306.6056	760.8312
57.8304	883.7208	2098.1592
609.0264	2018.6424	115.6608
122.8896	1124.0784	1304.7984
1395.1584	415.656	1575.8784
128.3112	216.864	258.4296
1400.58	1686.1176	806.0112
699.3864	1760.2128	1725.876
1951.776	2022.2568	1709.6112
755.4096	1122.2712	867.456
516.8592	325.296	603.6048
937.9368	1382.508	1077.0912
1675.2744	1492.7472	1335.5208
1270.4616	518.6664	862.0344
242.1648	1881.2952	1624.6728
1454.796	1720.4544	1608.408
430.1136	296.3808	359.6328
1733.1048	1096.9704	1060.8264
1821.6576	946.9728	1431.3024
1913.8248	1033.7184	45.18
2009.6064	2024.064	1693.3464
339.7536	934.3224	1646.3592
1693.3464	914.4432	1977.0768
778.9032	899.9856	1866.8376
1790.9352	1239.7392	1765.6344
2078.28	77.7096	140.9616
818.6616	110.2392	1628.2872
