sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.76,1,0,0,-21.94,13.12,0.067,0.451,0.07713636,0.71707646,-0.06241238,0.02951955,0.08671121,-0.04310893,-0.04018046,-0.03486432,0.03402661,0.01086377,-0.00680366,-0.00278286,-0.00412229,-0.00088835,0.00054259,-0.00003092,0.00001754,0.00023207,0.0018311,-0.00000077,0.00000002,0.00000015,0.00000019,0.00113084
1,0.76,2,20.44,20.44,-1.5,33.56,0.004,0.39,0.065172,0.67887077,-0.0080279,0.01060193,0.08705798,-0.01120954,-0.03605454,-0.04125464,0.03369568,0.00370837,-0.00460531,0.00014231,-0.00373369,-0.0005997,0.00021705,-0.000019,-0.0000007,-0.00002168,0.00158465,0.00000003,0.00000053,0.00000002,0.00000012,0.00113158
1,0.76,3,20.44,-20.44,-1.5,-7.32,0.004,0.513,0.09163413,0.64569194,-0.11018686,0.01110636,0.08012365,-0.0711902,-0.03706656,-0.02991809,0.03214734,0.00388656,-0.01052669,0.0002483,-0.00450938,-0.00126294,0.0002084,-0.000057,-0.00000177,-0.00002175,0.0020755,0.00000005,-0.0000011,-0.00000001,0.00000042,0.00113011
1,0.76,4,-20.44,-20.44,-42.38,-7.32,0.13,0.513,0.09307083,0.67500467,-0.10922436,0.04066189,0.07347153,-0.07074267,-0.04220427,-0.02683117,0.02979071,0.01526488,-0.00874995,-0.00731139,-0.00459339,-0.00117822,0.00096252,-0.00003844,0.00005045,0.00048296,0.00207293,-0.00000221,-0.00000039,0.00000042,0.00000021,0.00112993
1,0.76,5,-20.44,20.44,-42.38,33.56,0.13,0.389,0.0720515,0.76849267,-0.01400373,0.05245407,0.08194637,-0.01477827,-0.04636329,-0.0381284,0.03188478,0.01944236,-0.00323244,-0.00416221,-0.00382582,-0.00051487,0.00078271,-0.00000824,0.00002169,0.00048749,0.00158266,-0.00000093,0.00000108,0.00000014,0.00000003,0.00113138
1,0.869,1,0,0,-21.94,13.12,0.067,0.451,0.06754162,0.62712476,-0.05483984,0.02582209,0.07583417,-0.0378498,-0.03513649,-0.03049297,0.02975835,0.00950296,-0.00595026,-0.00243381,-0.00360548,-0.00077693,0.00047452,-0.00002704,0.00001534,0.00020296,0.00160143,-0.00000067,0.00000002,0.00000013,0.00000017,0.00098899
1,0.869,2,20.44,20.44,-1.5,33.56,0.004,0.39,0.05701466,0.59366603,-0.00726444,0.00927246,0.07613251,-0.0099444,-0.03153136,-0.03607152,0.02946718,0.00324334,-0.00402765,0.00012446,-0.00326561,-0.00052448,0.00018982,-0.00001662,-0.00000062,-0.00001896,0.00138589,0.00000002,0.00000046,0.00000001,0.0000001,0.00098964
1,0.869,3,20.44,-20.44,-1.5,-7.32,0.004,0.513,0.08025904,0.56472761,-0.09663287,0.00971361,0.07007787,-0.06241515,-0.0324174,-0.02616426,0.02811656,0.00339918,-0.00920632,0.00021715,-0.00394402,-0.00110452,0.00018226,-0.00004985,-0.00000155,-0.00001902,0.00181517,0.00000004,-0.00000096,-0.00000001,0.00000036,0.00098836
1,0.869,4,-20.44,-20.44,-42.38,-7.32,0.13,0.513,0.08152983,0.59040224,-0.09581538,0.03557182,0.06426019,-0.06203778,-0.03691515,-0.02347775,0.02605555,0.0133538,-0.00765242,-0.00639433,-0.00401751,-0.00103043,0.00084177,-0.00003362,0.00004413,0.00042239,0.00181292,-0.00000193,-0.00000034,0.00000037,0.00000019,0.00098821
1,0.869,5,-20.44,20.44,-42.38,33.56,0.13,0.389,0.0630348,0.672058,-0.0125154,0.04588482,0.07166203,-0.01307978,-0.04052719,-0.03335063,0.02788341,0.01700727,-0.002827,-0.00364016,-0.00334619,-0.0004503,0.00068452,-0.0000072,0.00001897,0.00042635,0.00138414,-0.00000081,0.00000094,0.00000012,0.00000002,0.00098947
1,0.977,1,0,0,-21.94,13.12,0.067,0.451,0.06013359,0.5577952,-0.04896208,0.02297144,0.06745073,-0.03377248,-0.03124945,-0.02712347,0.0264686,0.00845382,-0.00529251,-0.00216478,-0.0032071,-0.00069104,0.00042206,-0.00002405,0.00001364,0.00018053,0.0014244,-0.0000006,0.00000002,0.00000011,0.00000015,0.00087967
