sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.76,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.11334891,0.57114007,0.18064929,-0.0542036,0.03050943,0.1043035,0.02171399,-0.02843936,0.01395109,-0.02078003,-0.00644036,0.00391259,0.00123316,-0.00071973,-0.00064377,-0.0000604,-0.00002424,-0.00087327,0.00171946,-0.00000078,0.00028351,0.00000387,-0.00000072,0.00102292
1,0.76,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.06905752,0.40549701,0.09674524,-0.04112076,0.02506647,0.05480873,0.02116784,-0.02610935,0.0129199,-0.01614836,-0.01218469,0.00711698,0.00041526,-0.00132272,-0.00083623,-0.00010273,-0.00004835,-0.00086976,0.00220489,0.00000041,0.00027874,0.00000351,0.00000047,0.00102086
1,0.76,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.07489186,0.45703254,0.10903447,-0.00561863,0.0341741,0.06196722,0.02389124,-0.02700516,0.0161403,-0.00268025,-0.01391267,-0.00073075,0.00046473,-0.00140928,-0.00012403,-0.00011512,0.00001592,-0.00037144,0.00220517,-0.00000354,0.00027777,0.00000514,0.00000057,0.00102122
1,0.76,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.12413205,0.63978233,0.20230261,-0.00572451,0.03723271,0.11687677,0.0235103,-0.02926926,0.01632853,-0.00271387,-0.00779843,-0.00059894,0.00128915,-0.00080832,-0.00010751,-0.0000652,0.00000989,-0.00036937,0.00171975,-0.00000313,0.00028274,0.00000488,-0.00000075,0.00102327
1,0.869,1,0,0,-22.14,12.15,-0.071,-0.037,0.08334378,0.46540193,0.12954921,-0.02422157,0.03333414,0.07441527,0.01956629,-0.02497102,0.01494679,-0.00957136,-0.00884657,0.00212484,0.00077943,-0.00093071,-0.00037299,-0.00007526,-0.00001017,-0.00054299,0.00171797,-0.00000155,0.00024565,0.00000381,-0.00000005,0.00089383
1,0.869,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.09959662,0.50125557,0.15887864,-0.0474213,0.02666295,0.0917327,0.01895604,-0.02487246,0.01219426,-0.01817943,-0.00563255,0.00342379,0.00107787,-0.00062948,-0.00056303,-0.00005281,-0.00002119,-0.00076375,0.0015038,-0.00000068,0.00024795,0.00000338,-0.00000063,0.00089462
1,0.869,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.06077916,0.35467345,0.08544731,-0.03597968,0.02191838,0.04841635,0.01850251,-0.02283951,0.01129798,-0.0141288,-0.01065636,0.00622624,0.00036251,-0.00115682,-0.0007313,-0.00008984,-0.00004229,-0.00076068,0.00192835,0.00000036,0.00024378,0.00000307,0.00000041,0.00089281
1,0.869,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.06590411,0.4013931,0.0962258,-0.00491516,0.02988353,0.05469471,0.02087846,-0.0236097,0.01411441,-0.00234453,-0.01216762,-0.00063722,0.0004058,-0.00123251,-0.00010847,-0.00010068,0.00001392,-0.00032485,0.0019286,-0.0000031,0.00024293,0.0000045,0.0000005,0.00089313
1,0.869,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.10905348,0.56126423,0.17784639,-0.00500775,0.03254304,0.1027465,0.02054312,-0.02558509,0.01427355,-0.00237393,-0.00682021,-0.00052192,0.00112686,-0.00070695,-0.00009402,-0.00005702,0.00000865,-0.00032305,0.00150405,-0.00000273,0.00024727,0.00000427,-0.00000066,0.00089492
1,0.977,1,0,0,-22.14,12.15,-0.071,-0.037,0.07446154,0.41522246,0.11587952,-0.02155048,0.02964067,0.0665645,0.01738912,-0.02220778,0.01329151,-0.0085156,-0.00786865,0.00189134,0.00069282,-0.00082784,-0.00033175,-0.00006694,-0.00000905,-0.00048298,0.00152807,-0.00000138,0.0002185,0.00000338,-0.00000005,0.00079502
