====
Starting job 2058606 at Tue 28 Apr 01:09:55 BST 2020 for user dc-rope1.
Running on nodes: m7396
====
1999
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2058606_1000 FLARES-py+     cosma7              00:00:07      0:0 
2058606_38   FLARES-py+     cosma7              00:00:14      0:0 
2058606_38.+      batch                     0   00:00:14      0:0 
2058606_38.+     extern                  123K   00:00:15      0:0 
2058606_39   FLARES-py+     cosma7              00:00:14      0:0 
2058606_39.+      batch                     0   00:00:14      0:0 
2058606_39.+     extern                  238K   00:00:14      0:0 
2058606_40   FLARES-py+     cosma7              00:00:16      0:0 
2058606_40.+      batch                     0   00:00:16      0:0 
2058606_40.+     extern                  123K   00:00:16      0:0 
2058606_41   FLARES-py+     cosma7              00:00:11      0:0 
2058606_41.+      batch                     0   00:00:11      0:0 
2058606_41.+     extern                  127K   00:00:12      0:0 
2058606_42   FLARES-py+     cosma7              00:00:12      0:0 
2058606_42.+      batch                     0   00:00:12      0:0 
2058606_42.+     extern                  127K   00:00:12      0:0 
2058606_43   FLARES-py+     cosma7              00:00:16      0:0 
2058606_43.+      batch                     0   00:00:16      0:0 
2058606_43.+     extern                  127K   00:00:16      0:0 
2058606_44   FLARES-py+     cosma7              00:00:17      0:0 
2058606_44.+      batch                     0   00:00:17      0:0 
2058606_44.+     extern                  252K   00:00:17      0:0 
2058606_45   FLARES-py+     cosma7              00:00:14      0:0 
2058606_45.+      batch                     0   00:00:14      0:0 
2058606_45.+     extern                  259K   00:00:14      0:0 
2058606_46   FLARES-py+     cosma7              00:00:16      0:0 
2058606_46.+      batch                     0   00:00:16      0:0 
2058606_46.+     extern                  123K   00:00:16      0:0 
2058606_47   FLARES-py+     cosma7              00:00:14      0:0 
2058606_47.+      batch                     0   00:00:14      0:0 
2058606_47.+     extern                  250K   00:00:14      0:0 
2058606_48   FLARES-py+     cosma7              00:00:14      0:0 
2058606_48.+      batch                     0   00:00:14      0:0 
2058606_48.+     extern                  127K   00:00:14      0:0 
2058606_49   FLARES-py+     cosma7              00:00:18      0:0 
2058606_49.+      batch                     0   00:00:18      0:0 
2058606_49.+     extern                  254K   00:00:18      0:0 
2058606_50   FLARES-py+     cosma7              00:00:16      0:0 
2058606_50.+      batch                     0   00:00:16      0:0 
2058606_50.+     extern                  154K   00:00:16      0:0 
2058606_51   FLARES-py+     cosma7              00:00:15      0:0 
2058606_51.+      batch                     0   00:00:15      0:0 
