====
Starting job 2057605 at Tue 28 Apr 01:01:55 BST 2020 for user dc-rope1.
Running on nodes: m7384
====
999
Need to generate this file
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2057605_1000 FLARES-py+     cosma7              00:00:04      0:0 
2057605_38   FLARES-py+     cosma7              00:00:08      0:0 
2057605_38.+      batch                     0   00:00:08      0:0 
2057605_38.+     extern                  123K   00:00:08      0:0 
2057605_39   FLARES-py+     cosma7              00:00:08      0:0 
2057605_39.+      batch                     0   00:00:08      0:0 
2057605_39.+     extern                  123K   00:00:09      0:0 
2057605_40   FLARES-py+     cosma7              00:00:08      0:0 
2057605_40.+      batch                     0   00:00:08      0:0 
2057605_40.+     extern                  193K   00:00:08      0:0 
2057605_41   FLARES-py+     cosma7              00:00:08      0:0 
2057605_41.+      batch                     0   00:00:08      0:0 
2057605_41.+     extern                  127K   00:00:09      0:0 
2057605_42   FLARES-py+     cosma7              00:00:08      0:0 
2057605_42.+      batch                     0   00:00:08      0:0 
2057605_42.+     extern                  123K   00:00:09      0:0 
2057605_43   FLARES-py+     cosma7              00:00:09      0:0 
2057605_43.+      batch                     0   00:00:09      0:0 
2057605_43.+     extern                  123K   00:00:09      0:0 
2057605_44   FLARES-py+     cosma7              00:00:08      0:0 
2057605_44.+      batch                     0   00:00:08      0:0 
2057605_44.+     extern                  127K   00:00:09      0:0 
2057605_45   FLARES-py+     cosma7              00:00:07      0:0 
2057605_45.+      batch                     0   00:00:07      0:0 
2057605_45.+     extern                  247K   00:00:08      0:0 
2057605_46   FLARES-py+     cosma7              00:00:07      0:0 
2057605_46.+      batch                     0   00:00:07      0:0 
2057605_46.+     extern                  254K   00:00:08      0:0 
2057605_47   FLARES-py+     cosma7              00:00:07      0:0 
2057605_47.+      batch                     0   00:00:07      0:0 
2057605_47.+     extern                  127K   00:00:08      0:0 
2057605_48   FLARES-py+     cosma7              00:00:07      0:0 
2057605_48.+      batch                     0   00:00:07      0:0 
2057605_48.+     extern                  189K   00:00:08      0:0 
2057605_49   FLARES-py+     cosma7              00:00:07      0:0 
2057605_49.+      batch                     0   00:00:07      0:0 
2057605_49.+     extern                  127K   00:00:08      0:0 
2057605_50   FLARES-py+     cosma7              00:00:07      0:0 
2057605_50.+      batch                     0   00:00:07      0:0 
2057605_50.+     extern                  232K   00:00:07      0:0 
2057605_51   FLARES-py+     cosma7              00:00:07      0:0 
2057605_51.+      batch                     0   00:00:07      0:0 
2057605_51.+     extern                  127K   00:00:08      0:0 
2057605_52   FLARES-py+     cosma7              00:00:07      0:0 
2057605_52.+      batch                     0   00:00:07      0:0 
2057605_52.+     extern                  122K   00:00:08      0:0 
2057605_53   FLARES-py+     cosma7              00:00:07      0:0 
2057605_53.+      batch                     0   00:00:07      0:0 
2057605_53.+     extern                  123K   00:00:08      0:0 
2057605_54   FLARES-py+     cosma7              00:00:08      0:0 
2057605_54.+      batch                     0   00:00:08      0:0 
2057605_54.+     extern                  123K   00:00:08      0:0 
2057605_55   FLARES-py+     cosma7              00:00:07      0:0 
2057605_55.+      batch                     0   00:00:07      0:0 
2057605_55.+     extern                  246K   00:00:08      0:0 
2057605_56   FLARES-py+     cosma7              00:00:07      0:0 
2057605_56.+      batch                     0   00:00:07      0:0 
2057605_56.+     extern                  123K   00:00:08      0:0 
2057605_57   FLARES-py+     cosma7              00:00:07      0:0 
2057605_57.+      batch                     0   00:00:07      0:0 
2057605_57.+     extern                  209K   00:00:08      0:0 
2057605_58   FLARES-py+     cosma7              00:00:07      0:0 
2057605_58.+      batch                     0   00:00:07      0:0 
2057605_58.+     extern                  230K   00:00:08      0:0 
2057605_59   FLARES-py+     cosma7              00:00:07      0:0 
2057605_59.+      batch                     0   00:00:07      0:0 
2057605_59.+     extern                  127K   00:00:08      0:0 
2057605_60   FLARES-py+     cosma7              00:00:08      0:0 
2057605_60.+      batch                     0   00:00:08      0:0 
2057605_60.+     extern                  127K   00:00:08      0:0 
2057605_61   FLARES-py+     cosma7              00:00:15      0:0 
2057605_61.+      batch                     0   00:00:15      0:0 
2057605_61.+     extern                  123K   00:00:15      0:0 
2057605_62   FLARES-py+     cosma7              00:00:16      0:0 
2057605_62.+      batch                     0   00:00:16      0:0 
2057605_62.+     extern                  123K   00:00:16      0:0 
2057605_63   FLARES-py+     cosma7              00:00:16      0:0 
2057605_63.+      batch                     0   00:00:16      0:0 
2057605_63.+     extern                  127K   00:00:16      0:0 
2057605_64   FLARES-py+     cosma7              00:00:15      0:0 
2057605_64.+      batch                     0   00:00:15      0:0 
2057605_64.+     extern                  123K   00:00:15      0:0 
2057605_65   FLARES-py+     cosma7              00:00:18      0:0 
2057605_65.+      batch                     0   00:00:18      0:0 
2057605_65.+     extern                  202K   00:00:18      0:0 
2057605_66   FLARES-py+     cosma7              00:00:16      0:0 
2057605_66.+      batch                     0   00:00:16      0:0 
2057605_66.+     extern                  256K   00:00:17      0:0 
2057605_67   FLARES-py+     cosma7              00:00:15      0:0 
2057605_67.+      batch                     0   00:00:15      0:0 
2057605_67.+     extern                  234K   00:00:15      0:0 
2057605_68   FLARES-py+     cosma7              00:00:16      0:0 
2057605_68.+      batch                     0   00:00:16      0:0 
2057605_68.+     extern                  127K   00:00:16      0:0 
2057605_69   FLARES-py+     cosma7              00:00:16      0:0 
2057605_69.+      batch                     0   00:00:16      0:0 
2057605_69.+     extern                  255K   00:00:16      0:0 
2057605_70   FLARES-py+     cosma7              00:00:18      0:0 
2057605_70.+      batch                     0   00:00:18      0:0 
2057605_70.+     extern                  256K   00:00:18      0:0 
2057605_71   FLARES-py+     cosma7              00:00:13      0:0 
2057605_71.+      batch                     0   00:00:13      0:0 
2057605_71.+     extern                  127K   00:00:13      0:0 
2057605_72   FLARES-py+     cosma7              00:00:16      0:0 
2057605_72.+      batch                     0   00:00:16      0:0 
2057605_72.+     extern                  233K   00:00:16      0:0 
2057605_73   FLARES-py+     cosma7              00:00:16      0:0 
2057605_73.+      batch                     0   00:00:16      0:0 
